Sample Name,Volume (cm^3),Mass (g),Field (A/m),Frequency (Hz),Azimuth (deg),Dip (deg),K11 (Spec),K22 (Spec),K33 (Spec),K12 (Spec),K23 (Spec),K13 (Spec),Holder Value,Bulk Susceptibility,Standard deviation,K1,K2,K3,K1 DEC (Spec),K1 INC (Spec),K2 DEC (Spec),K2 INC (Spec),K3 DEC (Spec),K3 INC (Spec),K1 DEC (Geo),K1 INC (Geo),K2 DEC (Geo),K2 INC (Geo),K3 DEC (Geo),K3 INC (Geo),L,F,P,P',P1,P2,P3,P4,Demag Factor,Holder,Date,Comments,
CUBE12648141, 7.00,, 200, 976,, 90, 0.302015, 0.352734, 0.345251, 0.001889, 0.002771,-0.009432,-4.272E-06, 4.786E-03, 1.905E-04, 1.061042, 1.039149, 0.899809, 91.7, 19.9, 238.2, 66.6, 357.3, 11.9, 70.1, 1.6, 339.8, 12.1, 167.5, 77.8, 1.0211, 1.1549, 1.1792, 1.1966, 12,0, 12,0,YES,3D,8/29/2023 8:00:27 PM,,
CUBE12648701, 7.00,, 200, 976,, 90, 0.318475, 0.340114, 0.341411, 0.000981, 0.000156,-0.001282,-4.272E-06, 1.640E-03, 1.296E-04, 1.024471, 1.020454, 0.955076, 124.7, 84.7, 267.2, 4.2, 357.4, 3.2, 4.3, 3.0, 274.2, 2.8, 140.9, 85.9, 1.0039, 1.0685, 1.0727, 1.0820, 12,0, 12,0,YES,3D,8/29/2023 8:02:54 PM,,
CUBE12648721, 7.00,, 200, 976,, 90, 0.318458, 0.341898, 0.339644, 0.001293,-0.001016,-0.005440,-4.272E-06, 1.839E-03, 1.681E-04, 1.028489, 1.020208, 0.951303, 258.7, 33.0, 106.6, 53.7, 357.6, 13.5, 303.5, 9.5, 35.1, 9.7, 170.0, 76.3, 1.0081, 1.0724, 1.0811, 1.0896, 12,0, 12,0,YES,3D,8/29/2023 8:04:52 PM,,
CUBE12648741, 7.00,, 200, 976,, 90, 0.309968, 0.346639, 0.343393,-0.003009,-0.005466,-0.007376,-4.272E-06, 3.644E-03, 1.584E-04, 1.052491, 1.023580, 0.923929, 265.9, 38.8, 110.9, 48.4, 6.3, 12.6, 308.9, 3.2, 39.7, 13.7, 206.0, 75.9, 1.0282, 1.1079, 1.1391, 1.1471, 12,0, 12,0,YES,3D,8/29/2023 8:06:25 PM,,
CUBE12648761, 7.00,, 200, 976,, 90, 0.308583, 0.346230, 0.345187,-0.000930, 0.000418,-0.003297,-4.272E-06, 1.803E-03, 1.843E-04, 1.039489, 1.035709, 0.924803, 93.8, 26.0, 261.1, 63.5, 1.3, 5.1, 64.0, 3.4, 333.7, 4.0, 194.8, 84.7, 1.0037, 1.1199, 1.1240, 1.1422, 12,0, 12,0,YES,3D,8/29/2023 8:08:15 PM,,
CUBE12648781, 7.00,, 200, 976,, 90, 0.303270, 0.348953, 0.347777,-0.002588, 0.000785,-0.006594,-4.272E-06, 2.821E-03, 1.852E-04, 1.050201, 1.043242, 0.906557, 99.9, 39.8, 263.5, 49.1, 3.0, 8.2, 49.8, 7.6, 319.2, 4.2, 200.2, 81.3, 1.0067, 1.1508, 1.1585, 1.1807, 12,0, 12,0,YES,3D,8/29/2023 8:09:44 PM,,
CUBE12648801, 7.00,, 200, 976,, 90, 0.310797, 0.347059, 0.342145,-0.000923, 0.002424,-0.008300,-4.272E-06, 2.772E-03, 1.430E-04, 1.045734, 1.028071, 0.926195, 98.5, 29.4, 248.2, 56.9, 0.5, 13.9, 60.3, 7.4, 328.8, 11.7, 181.9, 76.1, 1.0172, 1.1100, 1.1291, 1.1405, 12,0, 12,0,YES,3D,8/29/2023 8:11:17 PM,,
CUBE12649471, 7.00,, 200, 976,, 90, 0.312484, 0.349547, 0.337970, 0.002100, 0.001507,-0.006431,-4.272E-06, 2.541E-03, 1.416E-04, 1.049362, 1.018222, 0.932416, 87.8, 6.1, 201.6, 75.2, 356.4, 13.5, 263.9, 2.2, 354.4, 13.8, 165.2, 76.0, 1.0306, 1.0920, 1.1254, 1.1307, 12,0, 12,0,YES,3D,8/29/2023 8:13:06 PM,,
CUBE12649491, 7.00,, 200, 976,, 90, 0.309826, 0.346684, 0.343491, 0.003423, 0.000234,-0.007637,-4.272E-06, 4.368E-03, 1.533E-04, 1.041312, 1.035055, 0.923633, 262.1, 12.7, 127.1, 72.3, 354.9, 12.1, 282.8, 7.7, 14.3, 10.6, 157.4, 76.9, 1.0060, 1.1206, 1.1274, 1.1447, 12,0, 12,0,YES,3D,8/29/2023 8:14:40 PM,,
CUBE12649511, 7.00,, 200, 976,, 90, 0.296847, 0.352809, 0.350343, 0.004509, 0.000156,-0.006019,-4.272E-06, 4.796E-03, 2.173E-04, 1.059653, 1.052877, 0.887470, 264.5, 8.3, 122.4, 79.6, 355.5, 6.3, 278.3, 5.4, 8.8, 5.5, 144.3, 82.2, 1.0064, 1.1864, 1.1940, 1.2228, 12,0, 12,0,YES,3D,8/29/2023 8:17:18 PM,,
CUBE12649531, 7.00,, 200, 976,, 90, 0.328137, 0.336473, 0.335390, 0.001033, 0.001707,-0.004552,-4.272E-06, 1.964E-03, 1.099E-04, 1.014952, 1.008002, 0.977045, 117.6, 51.1, 245.8, 26.6, 350.1, 26.2, 35.6, 16.9, 298.7, 21.5, 160.7, 62.1, 1.0069, 1.0317, 1.0388, 1.0414, 12,0, 12,0,YES,3D,8/29/2023 8:20:03 PM,,
CUBE12649921, 7.00,, 200, 976,, 90, 0.328417, 0.335659, 0.335924,-0.000052, 0.001909,-0.003679,-4.272E-06, 2.589E-03, 8.441E-05, 1.015642, 1.003774, 0.980584, 118.8, 52.7, 252.3, 27.7, 355.1, 22.9, 33.7, 17.0, 298.8, 15.6, 168.5, 66.6, 1.0118, 1.0236, 1.0358, 1.0364, 12,0, 12,0,YES,3D,8/29/2023 8:21:42 PM,,
CUBE12649941, 7.00,, 200, 976,, 90, 0.306669, 0.353158, 0.340174, 0.002900, 0.000362,-0.013456,-4.272E-06, 2.910E-03, 1.852E-04, 1.060085, 1.034590, 0.905325, 265.6, 2.9, 167.4, 70.5, 356.6, 19.3, 272.9, 4.4, 4.4, 19.1, 170.5, 70.4, 1.0246, 1.1428, 1.1709, 1.1852, 12,0, 12,0,YES,3D,8/29/2023 8:24:28 PM,,
