######################################################################
#
# LoggerIdentifier    : 1858035C
# Comment             : 
# PC Time             : 15 September 2021 , 12:40:58
# Logger Time         : 15 September 2021 , 12:40:58
# StartBatteryVoltage :      2970 mV
# EndBatteryVoltage   :      2902 mV
# TotalSampleCount    :    456793
# ResistanceOffset    :     11905.14456
# ResistanceScale     :     90939.70156
# TemperatureOffset   :         0.0009057505
# TemperatureLinear   :         0.0002256978
# TemperatureCubic    :         0.0000001097
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2021 09 15 10 51 23    23466    33611.768       22.508
2021 09 15 10 51 24    23483    33633.897       22.493
2021 09 15 10 51 25    23494    33648.220       22.483
2021 09 15 10 51 26    23503    33659.941       22.475
2021 09 15 10 51 27    23510    33669.059       22.469
2021 09 15 10 51 28    23517    33678.179       22.463
2021 09 15 10 51 29    23525    33688.603       22.456
2021 09 15 10 51 30    23532    33697.725       22.450
2021 09 15 10 51 31    23540    33708.152       22.443
2021 09 15 10 51 32    23548    33718.581       22.436
2021 09 15 10 51 33    23555    33727.707       22.429
2021 09 15 10 51 34    23564    33739.444       22.421
2021 09 15 10 51 35    23574    33752.487       22.413
2021 09 15 10 51 36    23583    33764.227       22.405
2021 09 15 10 51 37    23591    33774.666       22.398
2021 09 15 10 51 38    23600    33786.411       22.390
2021 09 15 10 51 39    23610    33799.463       22.381
2021 09 15 10 51 40    23621    33813.825       22.371
2021 09 15 10 51 41    23632    33828.189       22.361
2021 09 15 10 51 42    23642    33841.250       22.353
2021 09 15 10 51 43    23651    33853.008       22.345
2021 09 15 10 51 44    23659    33863.461       22.338
2021 09 15 10 51 45    23668    33875.223       22.330
2021 09 15 10 51 46    23677    33886.987       22.322
2021 09 15 10 51 47    23686    33898.753       22.314
2021 09 15 10 51 48    23697    33913.137       22.304
2021 09 15 10 51 49    23709    33928.833       22.294
2021 09 15 10 51 50    23722    33945.841       22.282
2021 09 15 10 51 51    23733    33960.235       22.273
2021 09 15 10 51 52    23742    33972.015       22.265
2021 09 15 10 51 53    23752    33985.107       22.256
2021 09 15 10 51 54    23765    34002.130       22.244
2021 09 15 10 51 55    23778    34019.158       22.233
2021 09 15 10 51 56    23789    34033.570       22.223
2021 09 15 10 51 57    23801    34049.295       22.213
2021 09 15 10 51 58    23812    34063.714       22.203
2021 09 15 10 51 59    23823    34078.136       22.193
2021 09 15 10 52 00    23835    34093.873       22.183
2021 09 15 10 52 01    23846    34108.302       22.173
2021 09 15 10 52 02    23858    34124.047       22.163
2021 09 15 10 52 03    23869    34138.482       22.153
2021 09 15 10 52 04    23879    34151.609       22.144
2021 09 15 10 52 05    23891    34167.364       22.134
2021 09 15 10 52 06    23903    34183.124       22.123
2021 09 15 10 52 07    23915    34198.887       22.113
2021 09 15 10 52 08    23927    34214.654       22.102
2021 09 15 10 52 09    23939    34230.426       22.092
2021 09 15 10 52 10    23952    34247.516       22.080
2021 09 15 10 52 11    23966    34265.926       22.068
2021 09 15 10 52 12    23977    34280.395       22.058
2021 09 15 10 52 13    23987    34293.551       22.050
2021 09 15 10 52 14    23998    34308.026       22.040
2021 09 15 10 52 15    24009    34322.504       22.031
2021 09 15 10 52 16    24021    34338.303       22.020
2021 09 15 10 52 17    24033    34354.105       22.010
2021 09 15 10 52 18    24045    34369.912       21.999
2021 09 15 10 52 19    24055    34383.087       21.990
2021 09 15 10 52 20    24064    34394.947       21.982
2021 09 15 10 52 21    24074    34408.127       21.974
2021 09 15 10 52 22    24084    34421.310       21.965
2021 09 15 10 52 23    24094    34434.496       21.956
2021 09 15 10 52 24    24104    34447.685       21.948
2021 09 15 10 52 25    24116    34463.515       21.937
2021 09 15 10 52 26    24127    34478.030       21.927
2021 09 15 10 52 27    24139    34493.867       21.917
2021 09 15 10 52 28    24150    34508.389       21.907
2021 09 15 10 52 29    24163    34525.555       21.896
2021 09 15 10 52 30    24175    34541.405       21.886
2021 09 15 10 52 31    24186    34555.937       21.876
2021 09 15 10 52 32    24198    34571.795       21.866
2021 09 15 10 52 33    24211    34588.978       21.854
2021 09 15 10 52 34    24225    34607.489       21.842
2021 09 15 10 52 35    24238    34624.682       21.831
2021 09 15 10 52 36    24249    34639.233       21.821
2021 09 15 10 52 37    24260    34653.789       21.812
2021 09 15 10 52 38    24271    34668.347       21.802
2021 09 15 10 52 39    24279    34678.937       21.795
2021 09 15 10 52 40    24287    34689.529       21.788
2021 09 15 10 52 41    24295    34700.123       21.781
2021 09 15 10 52 42    24305    34713.368       21.773
2021 09 15 10 52 43    24317    34729.265       21.762
2021 09 15 10 52 44    24328    34743.841       21.753
2021 09 15 10 52 45    24341    34761.071       21.741
2021 09 15 10 52 46    24353    34776.981       21.731
2021 09 15 10 52 47    24365    34792.894       21.721
2021 09 15 10 52 48    24375    34806.158       21.712
2021 09 15 10 52 49    24387    34822.079       21.701
2021 09 15 10 52 50    24397    34835.349       21.693
2021 09 15 10 52 51    24408    34849.950       21.683
2021 09 15 10 52 52    24416    34860.571       21.676
2021 09 15 10 52 53    24424    34871.193       21.669
2021 09 15 10 52 54    24433    34883.146       21.662
2021 09 15 10 52 55    24443    34896.429       21.653
2021 09 15 10 52 56    24453    34909.715       21.644
2021 09 15 10 52 57    24463    34923.004       21.636
2021 09 15 10 52 58    24476    34940.284       21.624
2021 09 15 10 52 59    24489    34957.568       21.613
2021 09 15 10 53 00    24504    34977.518       21.600
2021 09 15 10 53 01    24517    34994.813       21.589
2021 09 15 10 53 02    24528    35009.450       21.579
2021 09 15 10 53 03    24538    35022.760       21.571
2021 09 15 10 53 04    24548    35036.073       21.562
2021 09 15 10 53 05    24557    35048.057       21.554
2021 09 15 10 53 06    24566    35060.043       21.547
2021 09 15 10 53 07    24577    35074.696       21.537
2021 09 15 10 53 08    24588    35089.352       21.528
2021 09 15 10 53 09    24600    35105.345       21.517
2021 09 15 10 53 10    24613    35122.675       21.506
2021 09 15 10 53 11    24625    35138.676       21.496
2021 09 15 10 53 12    24638    35156.015       21.484
2021 09 15 10 53 13    24650    35172.024       21.474
2021 09 15 10 53 14    24658    35182.699       21.467
2021 09 15 10 53 15    24665    35192.042       21.461
2021 09 15 10 53 16    24672    35201.385       21.455
2021 09 15 10 53 17    24681    35213.401       21.447
2021 09 15 10 53 18    24690    35225.418       21.440
2021 09 15 10 53 19    24702    35241.445       21.429
2021 09 15 10 53 20    24714    35257.477       21.419
2021 09 15 10 53 21    24724    35270.839       21.410
2021 09 15 10 53 22    24735    35285.541       21.401
2021 09 15 10 53 23    24745    35298.909       21.392
2021 09 15 10 53 24    24758    35316.292       21.381
2021 09 15 10 53 25    24769    35331.005       21.372
2021 09 15 10 53 26    24780    35345.721       21.362
2021 09 15 10 53 27    24789    35357.764       21.354
2021 09 15 10 53 28    24798    35369.809       21.347
2021 09 15 10 53 29    24805    35379.179       21.341
2021 09 15 10 53 30    24815    35392.567       21.332
2021 09 15 10 53 31    24825    35405.958       21.324
2021 09 15 10 53 32    24835    35419.352       21.315
2021 09 15 10 53 33    24844    35431.409       21.307
2021 09 15 10 53 34    24851    35440.788       21.301
2021 09 15 10 53 35    24858    35450.169       21.295
2021 09 15 10 53 36    24867    35462.232       21.288
2021 09 15 10 53 37    24877    35475.637       21.279
2021 09 15 10 53 38    24885    35486.364       21.272
